,V,I_SD VG0
0,-1.0,-6.889925e-08
1,-0.98,-6.127621e-08
2,-0.96,-5.530313e-08
3,-0.94,-5.076811e-08
4,-0.92,-4.553896e-08
5,-0.9,-4.109918e-08
6,-0.88,-3.788274e-08
7,-0.86,-3.430639e-08
8,-0.84,-3.070967e-08
9,-0.8200000000000001,-2.697524e-08
10,-0.8,-2.427347e-08
11,-0.78,-2.16217e-08
12,-0.76,-1.942225e-08
13,-0.74,-1.651961e-08
14,-0.72,-1.494352e-08
15,-0.7,-1.277559e-08
16,-0.6799999999999999,-1.025409e-08
17,-0.6599999999999999,-8.443226e-09
18,-0.64,-5.608963e-09
19,-0.62,-4.123588e-09
20,-0.6,-2.668435e-09
21,-0.5800000000000001,-9.671317e-10
22,-0.56,6.320658e-10
23,-0.54,1.772212e-09
24,-0.52,3.222158e-09
25,-0.5,5.183419e-09
26,-0.48,6.095604e-09
27,-0.45999999999999996,7.13136e-09
28,-0.43999999999999995,7.634297e-09
29,-0.42000000000000004,9.089739e-09
30,-0.4,9.422849e-09
31,-0.38,1.124203e-08
32,-0.36,1.167797e-08
33,-0.33999999999999997,1.329165e-08
34,-0.31999999999999995,1.330985e-08
35,-0.29999999999999993,1.361839e-08
36,-0.28,1.483524e-08
37,-0.26,1.594541e-08
38,-0.24,1.567521e-08
39,-0.21999999999999997,1.647585e-08
40,-0.19999999999999996,1.634865e-08
41,-0.17999999999999994,1.727935e-08
42,-0.16000000000000003,1.78547e-08
43,-0.14,1.757008e-08
44,-0.12,1.927325e-08
45,-0.09999999999999998,1.891957e-08
46,-0.07999999999999996,1.95387e-08
47,-0.05999999999999994,1.902754e-08
48,-0.040000000000000036,1.983341e-08
49,-0.020000000000000018,1.983872e-08
50,0.0,2.0934e-08
51,0.020000000000000018,2.139962e-08
52,0.040000000000000036,2.058722e-08
53,0.06000000000000005,2.037463e-08
54,0.08000000000000007,2.148988e-08
55,0.10000000000000009,2.28389e-08
56,0.1200000000000001,2.315624e-08
57,0.14000000000000012,2.209397e-08
58,0.15999999999999992,2.336474e-08
59,0.17999999999999994,2.426273e-08
60,0.19999999999999996,2.383015e-08
61,0.21999999999999997,2.49356e-08
62,0.24,2.516977e-08
63,0.26,2.493358e-08
64,0.28,2.571225e-08
65,0.30000000000000004,2.628972e-08
66,0.32000000000000006,2.582416e-08
67,0.3400000000000001,2.669554e-08
68,0.3600000000000001,2.737345e-08
69,0.3800000000000001,2.721629e-08
70,0.40000000000000013,2.850322e-08
71,0.41999999999999993,2.876545e-08
72,0.43999999999999995,2.882068e-08
73,0.45999999999999996,3.018096e-08
74,0.48,3.16142e-08
75,0.5,3.254246e-08
76,0.52,3.277395e-08
77,0.54,3.400031e-08
78,0.56,3.44154e-08
79,0.5800000000000001,3.582284e-08
80,0.6000000000000001,3.669392e-08
81,0.6200000000000001,3.816278e-08
82,0.6400000000000001,3.905739e-08
83,0.6600000000000001,4.013234e-08
84,0.6799999999999999,4.101028e-08
85,0.7,4.20127e-08
86,0.72,4.342739e-08
87,0.74,4.476085e-08
88,0.76,4.626894e-08
89,0.78,4.758375e-08
90,0.8,4.897801e-08
91,0.8200000000000001,5.029938e-08
92,0.8400000000000001,5.172094e-08
93,0.8600000000000001,5.196619e-08
94,0.8800000000000001,5.349971e-08
95,0.9000000000000001,5.593468e-08
96,0.9199999999999999,5.691726e-08
97,0.94,5.844725e-08
98,0.96,6.024644e-08
99,0.98,6.036019e-08
100,1.0,6.184106e-08
