,V,I_SD VG0
0,-1.0,-6.53868e-08
1,-0.98,-6.123808e-08
2,-0.96,-5.792796e-08
3,-0.94,-5.506812e-08
4,-0.92,-5.230773e-08
5,-0.9,-4.971224e-08
6,-0.88,-4.723923e-08
7,-0.86,-4.477833e-08
8,-0.84,-4.244737e-08
9,-0.8200000000000001,-4.038301e-08
10,-0.8,-3.817612e-08
11,-0.78,-3.624449e-08
12,-0.76,-3.423523e-08
13,-0.74,-3.23225e-08
14,-0.72,-3.02738e-08
15,-0.7,-2.836472e-08
16,-0.6799999999999999,-2.657051e-08
17,-0.6599999999999999,-2.476165e-08
18,-0.64,-2.328403e-08
19,-0.62,-2.155274e-08
20,-0.6,-1.970725e-08
21,-0.5800000000000001,-1.802635e-08
22,-0.56,-1.661082e-08
23,-0.54,-1.509307e-08
24,-0.52,-1.328406e-08
25,-0.5,-1.193902e-08
26,-0.48,-1.030203e-08
27,-0.45999999999999996,-8.906888e-09
28,-0.43999999999999995,-7.406078e-09
29,-0.42000000000000004,-5.796678e-09
30,-0.4,-4.499034e-09
31,-0.38,-3.190673e-09
32,-0.36,-2.052212e-09
33,-0.33999999999999997,-4.56647e-10
34,-0.31999999999999995,6.15993e-10
35,-0.29999999999999993,1.705487e-09
36,-0.28,2.59967e-09
37,-0.26,4.095869e-09
38,-0.24,5.260487e-09
39,-0.21999999999999997,6.12753e-09
40,-0.19999999999999996,7.32565e-09
41,-0.17999999999999994,8.32039e-09
42,-0.16000000000000003,9.459782e-09
43,-0.14,1.06137e-08
44,-0.12,1.162725e-08
45,-0.09999999999999998,1.277307e-08
46,-0.07999999999999996,1.34915e-08
47,-0.05999999999999994,1.470103e-08
48,-0.040000000000000036,1.527271e-08
49,-0.020000000000000018,1.627273e-08
50,0.0,1.681575e-08
51,0.020000000000000018,1.78232e-08
52,0.040000000000000036,1.900548e-08
53,0.06000000000000005,1.990198e-08
54,0.08000000000000007,2.022387e-08
55,0.10000000000000009,2.086778e-08
56,0.1200000000000001,2.193884e-08
57,0.14000000000000012,2.249324e-08
58,0.15999999999999992,2.326955e-08
59,0.17999999999999994,2.358606e-08
60,0.19999999999999996,2.461266e-08
61,0.21999999999999997,2.57233e-08
62,0.24,2.614158e-08
63,0.26,2.687715e-08
64,0.28,2.73865e-08
65,0.30000000000000004,2.820684e-08
66,0.32000000000000006,2.91923e-08
67,0.3400000000000001,2.994795e-08
68,0.3600000000000001,3.033477e-08
69,0.3800000000000001,3.12644e-08
70,0.40000000000000013,3.194536e-08
71,0.41999999999999993,3.243605e-08
72,0.43999999999999995,3.307657e-08
73,0.45999999999999996,3.351174e-08
74,0.48,3.424533e-08
75,0.5,3.526711e-08
76,0.52,3.613e-08
77,0.54,3.650156e-08
78,0.56,3.766312e-08
79,0.5800000000000001,3.852917e-08
80,0.6000000000000001,3.975623e-08
81,0.6200000000000001,4.047596e-08
82,0.6400000000000001,4.122615e-08
83,0.6600000000000001,4.214822e-08
84,0.6799999999999999,4.339151e-08
85,0.7,4.459922e-08
86,0.72,4.557751e-08
87,0.74,4.645064e-08
88,0.76,4.744331e-08
89,0.78,4.850988e-08
90,0.8,4.929603e-08
91,0.8200000000000001,5.047176e-08
92,0.8400000000000001,5.160512e-08
93,0.8600000000000001,5.301693e-08
94,0.8800000000000001,5.396276e-08
95,0.9000000000000001,5.504757e-08
96,0.9199999999999999,5.663542e-08
97,0.94,5.800903e-08
98,0.96,5.918683e-08
99,0.98,6.016769e-08
100,1.0,6.124962e-08
