,V,I_SD VG0
0,-1.0,-8.268218e-08
1,-0.98,-7.924636e-08
2,-0.96,-7.594561e-08
3,-0.94,-7.302931e-08
4,-0.92,-7.016038e-08
5,-0.9,-6.748482e-08
6,-0.88,-6.492814e-08
7,-0.86,-6.236719e-08
8,-0.84,-5.989762e-08
9,-0.8200000000000001,-5.753078e-08
10,-0.8,-5.52289e-08
11,-0.78,-5.296751e-08
12,-0.76,-5.076325e-08
13,-0.74,-4.859538e-08
14,-0.72,-4.649545e-08
15,-0.7,-4.440252e-08
16,-0.6799999999999999,-4.231366e-08
17,-0.6599999999999999,-4.037248e-08
18,-0.64,-3.842588e-08
19,-0.62,-3.640207e-08
20,-0.6,-3.449177e-08
21,-0.5800000000000001,-3.261534e-08
22,-0.56,-3.067322e-08
23,-0.54,-2.884152e-08
24,-0.52,-2.6939e-08
25,-0.5,-2.500617e-08
26,-0.48,-2.324428e-08
27,-0.45999999999999996,-2.142682e-08
28,-0.43999999999999995,-1.967632e-08
29,-0.42000000000000004,-1.796247e-08
30,-0.4,-1.615054e-08
31,-0.38,-1.435342e-08
32,-0.36,-1.276001e-08
33,-0.33999999999999997,-1.103274e-08
34,-0.31999999999999995,-9.327001e-09
35,-0.29999999999999993,-7.755843e-09
36,-0.28,-6.12519e-09
37,-0.26,-4.621491e-09
38,-0.24,-3.111235e-09
39,-0.21999999999999997,-1.389302e-09
40,-0.19999999999999996,2.68615e-10
41,-0.17999999999999994,1.722198e-09
42,-0.16000000000000003,3.197675e-09
43,-0.14,4.834908e-09
44,-0.12,6.415684e-09
45,-0.09999999999999998,7.884395e-09
46,-0.07999999999999996,9.445343e-09
47,-0.05999999999999994,1.079832e-08
48,-0.040000000000000036,1.22861e-08
49,-0.020000000000000018,1.375036e-08
50,0.0,1.506537e-08
51,0.020000000000000018,1.652088e-08
52,0.040000000000000036,1.797639e-08
53,0.06000000000000005,1.938698e-08
54,0.08000000000000007,2.081469e-08
55,0.10000000000000009,2.205021e-08
56,0.1200000000000001,2.335768e-08
57,0.14000000000000012,2.468299e-08
58,0.15999999999999992,2.603544e-08
59,0.17999999999999994,2.740937e-08
60,0.19999999999999996,2.870062e-08
61,0.21999999999999997,3.002637e-08
62,0.24,3.13146e-08
63,0.26,3.26373e-08
64,0.28,3.398197e-08
65,0.30000000000000004,3.51331e-08
66,0.32000000000000006,3.6447e-08
67,0.3400000000000001,3.754489e-08
68,0.3600000000000001,3.89045e-08
69,0.3800000000000001,4.004298e-08
70,0.40000000000000013,4.126187e-08
71,0.41999999999999993,4.255028e-08
72,0.43999999999999995,4.349175e-08
73,0.45999999999999996,4.48689e-08
74,0.48,4.598861e-08
75,0.5,4.715104e-08
76,0.52,4.834999e-08
77,0.54,4.965376e-08
78,0.56,5.094609e-08
79,0.5800000000000001,5.217394e-08
80,0.6000000000000001,5.330143e-08
81,0.6200000000000001,5.435606e-08
82,0.6400000000000001,5.557007e-08
83,0.6600000000000001,5.690588e-08
84,0.6799999999999999,5.813405e-08
85,0.7,5.928397e-08
86,0.72,6.074752e-08
87,0.74,6.204959e-08
88,0.76,6.342988e-08
89,0.78,6.459548e-08
90,0.8,6.594475e-08
91,0.8200000000000001,6.722443e-08
92,0.8400000000000001,6.858025e-08
93,0.8600000000000001,6.9816e-08
94,0.8800000000000001,7.107756e-08
95,0.9000000000000001,7.243188e-08
96,0.9199999999999999,7.404778e-08
97,0.94,7.547957e-08
98,0.96,7.688414e-08
99,0.98,7.828282e-08
100,1.0,7.956478e-08
