,V,I_SD VG0
0,-1.0,-5.93439e-08
1,-0.98,-5.255743e-08
2,-0.96,-4.713327e-08
3,-0.94,-4.265156e-08
4,-0.92,-3.81518e-08
5,-0.9,-3.422177e-08
6,-0.88,-3.014845e-08
7,-0.86,-2.73787e-08
8,-0.84,-2.40569e-08
9,-0.8200000000000001,-2.080848e-08
10,-0.8,-1.789046e-08
11,-0.78,-1.578353e-08
12,-0.76,-1.301804e-08
13,-0.74,-1.09701e-08
14,-0.72,-8.489327e-09
15,-0.7,-6.335288e-09
16,-0.6799999999999999,-4.285585e-09
17,-0.6599999999999999,-2.766801e-09
18,-0.64,-1.027366e-09
19,-0.62,5.62499e-10
20,-0.6,2.693705e-09
21,-0.5800000000000001,4.189313e-09
22,-0.56,5.708524e-09
23,-0.54,6.827561e-09
24,-0.52,8.362623e-09
25,-0.5,9.534578e-09
26,-0.48,1.009849e-08
27,-0.45999999999999996,1.158577e-08
28,-0.43999999999999995,1.26491e-08
29,-0.42000000000000004,1.362853e-08
30,-0.4,1.394315e-08
31,-0.38,1.518719e-08
32,-0.36,1.605615e-08
33,-0.33999999999999997,1.663969e-08
34,-0.31999999999999995,1.800031e-08
35,-0.29999999999999993,1.798857e-08
36,-0.28,1.857708e-08
37,-0.26,1.920629e-08
38,-0.24,2.028596e-08
39,-0.21999999999999997,1.995398e-08
40,-0.19999999999999996,2.021272e-08
41,-0.17999999999999994,2.143158e-08
42,-0.16000000000000003,2.140343e-08
43,-0.14,2.108503e-08
44,-0.12,2.185593e-08
45,-0.09999999999999998,2.294009e-08
46,-0.07999999999999996,2.257143e-08
47,-0.05999999999999994,2.25061e-08
48,-0.040000000000000036,2.285081e-08
49,-0.020000000000000018,2.312426e-08
50,0.0,2.367291e-08
51,0.020000000000000018,2.387658e-08
52,0.040000000000000036,2.381365e-08
53,0.06000000000000005,2.390404e-08
54,0.08000000000000007,2.460927e-08
55,0.10000000000000009,2.497715e-08
56,0.1200000000000001,2.546317e-08
57,0.14000000000000012,2.513826e-08
58,0.15999999999999992,2.578174e-08
59,0.17999999999999994,2.684964e-08
60,0.19999999999999996,2.70832e-08
61,0.21999999999999997,2.736327e-08
62,0.24,2.817441e-08
63,0.26,2.762866e-08
64,0.28,2.858556e-08
65,0.30000000000000004,2.877451e-08
66,0.32000000000000006,2.817866e-08
67,0.3400000000000001,2.988698e-08
68,0.3600000000000001,3.086106e-08
69,0.3800000000000001,3.036864e-08
70,0.40000000000000013,3.066575e-08
71,0.41999999999999993,3.065828e-08
72,0.43999999999999995,3.136454e-08
73,0.45999999999999996,3.216813e-08
74,0.48,3.30875e-08
75,0.5,3.344399e-08
76,0.52,3.44397e-08
77,0.54,3.522796e-08
78,0.56,3.601189e-08
79,0.5800000000000001,3.656551e-08
80,0.6000000000000001,3.643629e-08
81,0.6200000000000001,3.725323e-08
82,0.6400000000000001,3.857723e-08
83,0.6600000000000001,3.872646e-08
84,0.6799999999999999,3.99138e-08
85,0.7,4.02038e-08
86,0.72,4.079083e-08
87,0.74,4.14793e-08
88,0.76,4.223675e-08
89,0.78,4.335642e-08
90,0.8,4.403305e-08
91,0.8200000000000001,4.522397e-08
92,0.8400000000000001,4.619715e-08
93,0.8600000000000001,4.668128e-08
94,0.8800000000000001,4.734601e-08
95,0.9000000000000001,4.843699e-08
96,0.9199999999999999,4.95678e-08
97,0.94,5.035981e-08
98,0.96,5.135855e-08
99,0.98,5.215283e-08
100,1.0,5.392323e-08
