,V,I_SD VG0
0,-1.0,-5.867944e-08
1,-0.98,-5.751338e-08
2,-0.96,-5.634263e-08
3,-0.94,-5.514981e-08
4,-0.92,-5.398169e-08
5,-0.9,-5.280262e-08
6,-0.88,-5.160206e-08
7,-0.86,-5.046051e-08
8,-0.84,-4.928427e-08
9,-0.8200000000000001,-4.811587e-08
10,-0.8,-4.694953e-08
11,-0.78,-4.579414e-08
12,-0.76,-4.461518e-08
13,-0.74,-4.34772e-08
14,-0.72,-4.232573e-08
15,-0.7,-4.11568e-08
16,-0.6799999999999999,-4.001843e-08
17,-0.6599999999999999,-3.886442e-08
18,-0.64,-3.767185e-08
19,-0.62,-3.654204e-08
20,-0.6,-3.529993e-08
21,-0.5800000000000001,-3.40956e-08
22,-0.56,-3.287956e-08
23,-0.54,-3.168293e-08
24,-0.52,-3.047005e-08
25,-0.5,-2.926777e-08
26,-0.48,-2.80626e-08
27,-0.45999999999999996,-2.682485e-08
28,-0.43999999999999995,-2.577276e-08
29,-0.42000000000000004,-2.456615e-08
30,-0.4,-2.345124e-08
31,-0.38,-2.225087e-08
32,-0.36,-2.108807e-08
33,-0.33999999999999997,-1.995979e-08
34,-0.31999999999999995,-1.877874e-08
35,-0.29999999999999993,-1.773907e-08
36,-0.28,-1.658999e-08
37,-0.26,-1.54136e-08
38,-0.24,-1.364825e-08
39,-0.21999999999999997,-1.292909e-08
40,-0.19999999999999996,-1.176572e-08
41,-0.17999999999999994,-1.056548e-08
42,-0.16000000000000003,-9.410996e-09
43,-0.14,-8.216751e-09
44,-0.12,-7.064996e-09
45,-0.09999999999999998,-5.894112e-09
46,-0.07999999999999996,-4.72636e-09
47,-0.05999999999999994,-3.559815e-09
48,-0.040000000000000036,-2.393123e-09
49,-0.020000000000000018,-1.224917e-09
50,0.0,-6.427783e-11
51,0.020000000000000018,1.161575e-09
52,0.040000000000000036,2.318351e-09
53,0.06000000000000005,3.485469e-09
54,0.08000000000000007,4.646982e-09
55,0.10000000000000009,5.811633e-09
56,0.1200000000000001,6.983393e-09
57,0.14000000000000012,8.143651e-09
58,0.15999999999999992,9.31434e-09
59,0.17999999999999994,1.04852e-08
60,0.19999999999999996,1.164934e-08
61,0.21999999999999997,1.280949e-08
62,0.24,1.397713e-08
63,0.26,1.51442e-08
64,0.28,1.630424e-08
65,0.30000000000000004,1.746122e-08
66,0.32000000000000006,1.862128e-08
67,0.3400000000000001,1.979144e-08
68,0.3600000000000001,2.095729e-08
69,0.3800000000000001,2.212442e-08
70,0.40000000000000013,2.3274e-08
71,0.41999999999999993,2.444261e-08
72,0.43999999999999995,2.559657e-08
73,0.45999999999999996,2.678678e-08
74,0.48,2.793857e-08
75,0.5,2.911051e-08
76,0.52,3.029583e-08
77,0.54,3.146044e-08
78,0.56,3.259913e-08
79,0.5800000000000001,3.376255e-08
80,0.6000000000000001,3.493123e-08
81,0.6200000000000001,3.60816e-08
82,0.6400000000000001,3.724268e-08
83,0.6600000000000001,3.840107e-08
84,0.6799999999999999,3.955577e-08
85,0.7,4.072645e-08
86,0.72,4.189098e-08
87,0.74,4.305576e-08
88,0.76,4.421688e-08
89,0.78,4.538266e-08
90,0.8,4.655239e-08
91,0.8200000000000001,4.770577e-08
92,0.8400000000000001,4.887074e-08
93,0.8600000000000001,5.003491e-08
94,0.8800000000000001,5.12019e-08
95,0.9000000000000001,5.237172e-08
96,0.9199999999999999,5.355021e-08
97,0.94,5.472202e-08
98,0.96,5.588363e-08
99,0.98,5.706384e-08
100,1.0,5.822e-08
