,V,I_SD VG0
0,-1.0,-2.672031e-08
1,-0.98,-2.616066e-08
2,-0.96,-2.56242e-08
3,-0.94,-2.509799e-08
4,-0.92,-2.455893e-08
5,-0.9,-2.403163e-08
6,-0.88,-2.348478e-08
7,-0.86,-2.294225e-08
8,-0.84,-2.242688e-08
9,-0.8200000000000001,-2.187952e-08
10,-0.8,-2.133665e-08
11,-0.78,-2.080992e-08
12,-0.76,-2.02924e-08
13,-0.74,-1.973929e-08
14,-0.72,-1.921107e-08
15,-0.7,-1.867946e-08
16,-0.6799999999999999,-1.814618e-08
17,-0.6599999999999999,-1.762272e-08
18,-0.64,-1.709206e-08
19,-0.62,-1.655214e-08
20,-0.6,-1.602427e-08
21,-0.5800000000000001,-1.549079e-08
22,-0.56,-1.494966e-08
23,-0.54,-1.441487e-08
24,-0.52,-1.3881e-08
25,-0.5,-1.335141e-08
26,-0.48,-1.282243e-08
27,-0.45999999999999996,-1.227844e-08
28,-0.43999999999999995,-1.174408e-08
29,-0.42000000000000004,-1.12083e-08
30,-0.4,-1.067239e-08
31,-0.38,-1.014277e-08
32,-0.36,-9.608966e-09
33,-0.33999999999999997,-9.0628e-09
34,-0.31999999999999995,-8.542422e-09
35,-0.29999999999999993,-8.016436e-09
36,-0.28,-7.475065e-09
37,-0.26,-6.933232e-09
38,-0.24,-6.40927e-09
39,-0.21999999999999997,-5.871232e-09
40,-0.19999999999999996,-5.329803e-09
41,-0.17999999999999994,-4.805994e-09
42,-0.16000000000000003,-4.270426e-09
43,-0.14,-3.729455e-09
44,-0.12,-3.199833e-09
45,-0.09999999999999998,-2.664622e-09
46,-0.07999999999999996,-2.137781e-09
47,-0.05999999999999994,-1.600495e-09
48,-0.040000000000000036,-1.077539e-09
49,-0.020000000000000018,-5.166902e-10
50,0.0,1.347784e-11
51,0.020000000000000018,5.379887e-10
52,0.040000000000000036,1.072439e-09
53,0.06000000000000005,1.604469e-09
54,0.08000000000000007,2.132412e-09
55,0.10000000000000009,2.663485e-09
56,0.1200000000000001,3.1555e-09
57,0.14000000000000012,3.695655e-09
58,0.15999999999999992,4.210878e-09
59,0.17999999999999994,4.747551e-09
60,0.19999999999999996,5.271001e-09
61,0.21999999999999997,5.802779e-09
62,0.24,6.325525e-09
63,0.26,6.861689e-09
64,0.28,7.386805e-09
65,0.30000000000000004,7.919798e-09
66,0.32000000000000006,8.450263e-09
67,0.3400000000000001,8.970031e-09
68,0.3600000000000001,9.494588e-09
69,0.3800000000000001,1.001884e-08
70,0.40000000000000013,1.05541e-08
71,0.41999999999999993,1.108094e-08
72,0.43999999999999995,1.160751e-08
73,0.45999999999999996,1.215025e-08
74,0.48,1.267592e-08
75,0.5,1.320099e-08
76,0.52,1.372993e-08
77,0.54,1.424884e-08
78,0.56,1.477608e-08
79,0.5800000000000001,1.530928e-08
80,0.6000000000000001,1.583273e-08
81,0.6200000000000001,1.636374e-08
82,0.6400000000000001,1.688492e-08
83,0.6600000000000001,1.739682e-08
84,0.6799999999999999,1.78989e-08
85,0.7,1.840573e-08
86,0.72,1.876113e-08
87,0.74,1.945147e-08
88,0.76,2.003956e-08
89,0.78,2.051968e-08
90,0.8,2.104101e-08
91,0.8200000000000001,2.159342e-08
92,0.8400000000000001,2.212847e-08
93,0.8600000000000001,2.259985e-08
94,0.8800000000000001,2.314554e-08
95,0.9000000000000001,2.359777e-08
96,0.9199999999999999,2.413863e-08
97,0.94,2.470274e-08
98,0.96,2.520392e-08
99,0.98,2.574572e-08
100,1.0,2.62782e-08
