,V,I_SD VG0
0,-1.0,-2.992175e-08
1,-0.98,-2.931253e-08
2,-0.96,-2.870772e-08
3,-0.94,-2.810827e-08
4,-0.92,-2.749218e-08
5,-0.9,-2.689251e-08
6,-0.88,-2.62973e-08
7,-0.86,-2.569977e-08
8,-0.84,-2.509912e-08
9,-0.8200000000000001,-2.450029e-08
10,-0.8,-2.390386e-08
11,-0.78,-2.330613e-08
12,-0.76,-2.270912e-08
13,-0.74,-2.210738e-08
14,-0.72,-2.151253e-08
15,-0.7,-2.091082e-08
16,-0.6799999999999999,-2.031725e-08
17,-0.6599999999999999,-1.971833e-08
18,-0.64,-1.912677e-08
19,-0.62,-1.850996e-08
20,-0.6,-1.791898e-08
21,-0.5800000000000001,-1.734942e-08
22,-0.56,-1.678315e-08
23,-0.54,-1.615983e-08
24,-0.52,-1.553417e-08
25,-0.5,-1.494258e-08
26,-0.48,-1.422028e-08
27,-0.45999999999999996,-1.377636e-08
28,-0.43999999999999995,-1.318268e-08
29,-0.42000000000000004,-1.259924e-08
30,-0.4,-1.190251e-08
31,-0.38,-1.135303e-08
32,-0.36,-1.07635e-08
33,-0.33999999999999997,-1.01909e-08
34,-0.31999999999999995,-9.636783e-09
35,-0.29999999999999993,-8.860904e-09
36,-0.28,-8.377196e-09
37,-0.26,-7.91568e-09
38,-0.24,-7.382322e-09
39,-0.21999999999999997,-6.740319e-09
40,-0.19999999999999996,-6.076362e-09
41,-0.17999999999999994,-5.407713e-09
42,-0.16000000000000003,-4.828482e-09
43,-0.14,-4.237488e-09
44,-0.12,-3.626059e-09
45,-0.09999999999999998,-3.017461e-09
46,-0.07999999999999996,-2.414361e-09
47,-0.05999999999999994,-1.80571e-09
48,-0.040000000000000036,-1.181668e-09
49,-0.020000000000000018,-6.096516e-10
50,0.0,-8.216916e-12
51,0.020000000000000018,6.426472e-10
52,0.040000000000000036,1.226307e-09
53,0.06000000000000005,1.825052e-09
54,0.08000000000000007,2.429243e-09
55,0.10000000000000009,3.005688e-09
56,0.1200000000000001,3.599336e-09
57,0.14000000000000012,4.191171e-09
58,0.15999999999999992,4.78956e-09
59,0.17999999999999994,5.382351e-09
60,0.19999999999999996,5.976657e-09
61,0.21999999999999997,6.573427e-09
62,0.24,7.168242e-09
63,0.26,7.764461e-09
64,0.28,8.353165e-09
65,0.30000000000000004,8.952314e-09
66,0.32000000000000006,9.547377e-09
67,0.3400000000000001,1.014194e-08
68,0.3600000000000001,1.074159e-08
69,0.3800000000000001,1.132887e-08
70,0.40000000000000013,1.193331e-08
71,0.41999999999999993,1.253344e-08
72,0.43999999999999995,1.312805e-08
73,0.45999999999999996,1.372895e-08
74,0.48,1.425424e-08
75,0.5,1.466049e-08
76,0.52,1.531999e-08
77,0.54,1.595739e-08
78,0.56,1.657134e-08
79,0.5800000000000001,1.725063e-08
80,0.6000000000000001,1.793261e-08
81,0.6200000000000001,1.854711e-08
82,0.6400000000000001,1.91457e-08
83,0.6600000000000001,1.975966e-08
84,0.6799999999999999,2.035126e-08
85,0.7,2.093075e-08
86,0.72,2.150253e-08
87,0.74,2.210339e-08
88,0.76,2.268737e-08
89,0.78,2.328091e-08
90,0.8,2.387098e-08
91,0.8200000000000001,2.445502e-08
92,0.8400000000000001,2.504871e-08
93,0.8600000000000001,2.564415e-08
94,0.8800000000000001,2.623901e-08
95,0.9000000000000001,2.683745e-08
96,0.9199999999999999,2.744423e-08
97,0.94,2.804518e-08
98,0.96,2.864082e-08
99,0.98,2.923671e-08
100,1.0,2.983103e-08
