,V,I_SD VG0
0,-1.0,-9.898147e-08
1,-0.98,-9.691994e-08
2,-0.96,-9.484408e-08
3,-0.94,-9.28007e-08
4,-0.92,-9.072637e-08
5,-0.9,-8.867219e-08
6,-0.88,-8.662391e-08
7,-0.86,-8.458445e-08
8,-0.84,-8.254258e-08
9,-0.8200000000000001,-8.049842e-08
10,-0.8,-7.847228e-08
11,-0.78,-7.645589e-08
12,-0.76,-7.4444e-08
13,-0.74,-7.24385e-08
14,-0.72,-7.041886e-08
15,-0.7,-6.840877e-08
16,-0.6799999999999999,-6.640866e-08
17,-0.6599999999999999,-6.440474e-08
18,-0.64,-6.239441e-08
19,-0.62,-6.040123e-08
20,-0.6,-5.841467e-08
21,-0.5800000000000001,-5.641838e-08
22,-0.56,-5.44368e-08
23,-0.54,-5.244948e-08
24,-0.52,-5.043636e-08
25,-0.5,-4.846133e-08
26,-0.48,-4.649049e-08
27,-0.45999999999999996,-4.452142e-08
28,-0.43999999999999995,-4.255032e-08
29,-0.42000000000000004,-4.059182e-08
30,-0.4,-3.863487e-08
31,-0.38,-3.667433e-08
32,-0.36,-3.472812e-08
33,-0.33999999999999997,-3.278678e-08
34,-0.31999999999999995,-3.084298e-08
35,-0.29999999999999993,-2.890002e-08
36,-0.28,-2.696342e-08
37,-0.26,-2.502985e-08
38,-0.24,-2.30959e-08
39,-0.21999999999999997,-2.116816e-08
40,-0.19999999999999996,-1.924183e-08
41,-0.17999999999999994,-1.732627e-08
42,-0.16000000000000003,-1.540313e-08
43,-0.14,-1.348651e-08
44,-0.12,-1.157879e-08
45,-0.09999999999999998,-9.636471e-09
46,-0.07999999999999996,-7.72616e-09
47,-0.05999999999999994,-5.824873e-09
48,-0.040000000000000036,-3.925089e-09
49,-0.020000000000000018,-2.023647e-09
50,0.0,-1.330519e-10
51,0.020000000000000018,1.827022e-09
52,0.040000000000000036,3.705297e-09
53,0.06000000000000005,5.588658e-09
54,0.08000000000000007,7.478091e-09
55,0.10000000000000009,9.353227e-09
56,0.1200000000000001,1.12301e-08
57,0.14000000000000012,1.310091e-08
58,0.15999999999999992,1.497152e-08
59,0.17999999999999994,1.684031e-08
60,0.19999999999999996,1.870626e-08
61,0.21999999999999997,2.057293e-08
62,0.24,2.243437e-08
63,0.26,2.429123e-08
64,0.28,2.614372e-08
65,0.30000000000000004,2.799266e-08
66,0.32000000000000006,2.984241e-08
67,0.3400000000000001,3.168999e-08
68,0.3600000000000001,3.353654e-08
69,0.3800000000000001,3.538024e-08
70,0.40000000000000013,3.721046e-08
71,0.41999999999999993,3.904699e-08
72,0.43999999999999995,4.08714e-08
73,0.45999999999999996,4.273497e-08
74,0.48,4.455973e-08
75,0.5,4.638683e-08
76,0.52,4.821408e-08
77,0.54,5.003476e-08
78,0.56,5.18539e-08
79,0.5800000000000001,5.367198e-08
80,0.6000000000000001,5.547945e-08
81,0.6200000000000001,5.729077e-08
82,0.6400000000000001,5.909122e-08
83,0.6600000000000001,6.090189e-08
84,0.6799999999999999,6.270721e-08
85,0.7,6.451439e-08
86,0.72,6.631532e-08
87,0.74,6.811231e-08
88,0.76,6.991448e-08
89,0.78,7.171681e-08
90,0.8,7.350916e-08
91,0.8200000000000001,7.528902e-08
92,0.8400000000000001,7.708532e-08
93,0.8600000000000001,7.887196e-08
94,0.8800000000000001,8.065668e-08
95,0.9000000000000001,8.243091e-08
96,0.9199999999999999,8.424519e-08
97,0.94,8.601968e-08
98,0.96,8.779755e-08
99,0.98,8.956989e-08
100,1.0,9.13388e-08
