,V,I_SD VG0
0,-1.0,-2.149057e-08
1,-0.98,-2.10484e-08
2,-0.96,-2.06154e-08
3,-0.94,-2.018212e-08
4,-0.92,-1.97247e-08
5,-0.9,-1.929044e-08
6,-0.88,-1.886071e-08
7,-0.86,-1.842921e-08
8,-0.84,-1.798333e-08
9,-0.8200000000000001,-1.755479e-08
10,-0.8,-1.712932e-08
11,-0.78,-1.668301e-08
12,-0.76,-1.625798e-08
13,-0.74,-1.582372e-08
14,-0.72,-1.538809e-08
15,-0.7,-1.49665e-08
16,-0.6799999999999999,-1.452815e-08
17,-0.6599999999999999,-1.408944e-08
18,-0.64,-1.367142e-08
19,-0.62,-1.323621e-08
20,-0.6,-1.280976e-08
21,-0.5800000000000001,-1.23966e-08
22,-0.56,-1.195608e-08
23,-0.54,-1.151248e-08
24,-0.52,-1.109109e-08
25,-0.5,-1.065778e-08
26,-0.48,-1.022721e-08
27,-0.45999999999999996,-9.80723e-09
28,-0.43999999999999995,-9.382898e-09
29,-0.42000000000000004,-8.945404e-09
30,-0.4,-8.505544e-09
31,-0.38,-8.095102e-09
32,-0.36,-7.657617e-09
33,-0.33999999999999997,-7.234853e-09
34,-0.31999999999999995,-6.815583e-09
35,-0.29999999999999993,-6.389087e-09
36,-0.28,-5.945226e-09
37,-0.26,-5.522574e-09
38,-0.24,-5.117335e-09
39,-0.21999999999999997,-4.675245e-09
40,-0.19999999999999996,-4.254107e-09
41,-0.17999999999999994,-3.83367e-09
42,-0.16000000000000003,-3.406926e-09
43,-0.14,-2.98533e-09
44,-0.12,-2.56116e-09
45,-0.09999999999999998,-2.123415e-09
46,-0.07999999999999996,-1.703029e-09
47,-0.05999999999999994,-1.284107e-09
48,-0.040000000000000036,-8.583736e-10
49,-0.020000000000000018,-4.295099e-10
50,0.0,-5.340969e-12
51,0.020000000000000018,4.347254e-10
52,0.040000000000000036,8.428032e-10
53,0.06000000000000005,1.271871e-09
54,0.08000000000000007,1.680504e-09
55,0.10000000000000009,2.104727e-09
56,0.1200000000000001,2.543077e-09
57,0.14000000000000012,2.956859e-09
58,0.15999999999999992,3.365892e-09
59,0.17999999999999994,3.803136e-09
60,0.19999999999999996,4.211873e-09
61,0.21999999999999997,4.640834e-09
62,0.24,5.054212e-09
63,0.26,5.470667e-09
64,0.28,5.891406e-09
65,0.30000000000000004,6.321739e-09
66,0.32000000000000006,6.744191e-09
67,0.3400000000000001,7.153178e-09
68,0.3600000000000001,7.575339e-09
69,0.3800000000000001,7.978265e-09
70,0.40000000000000013,8.404467e-09
71,0.41999999999999993,8.83035e-09
72,0.43999999999999995,9.237969e-09
73,0.45999999999999996,9.672587e-09
74,0.48,1.008429e-08
75,0.5,1.050857e-08
76,0.52,1.092239e-08
77,0.54,1.133981e-08
78,0.56,1.174674e-08
79,0.5800000000000001,1.216626e-08
80,0.6000000000000001,1.258132e-08
81,0.6200000000000001,1.300386e-08
82,0.6400000000000001,1.341114e-08
83,0.6600000000000001,1.383092e-08
84,0.6799999999999999,1.425483e-08
85,0.7,1.466433e-08
86,0.72,1.508118e-08
87,0.74,1.550139e-08
88,0.76,1.590876e-08
89,0.78,1.632955e-08
90,0.8,1.674579e-08
91,0.8200000000000001,1.714837e-08
92,0.8400000000000001,1.756577e-08
93,0.8600000000000001,1.798415e-08
94,0.8800000000000001,1.840828e-08
95,0.9000000000000001,1.881483e-08
96,0.9199999999999999,1.92316e-08
97,0.94,1.964617e-08
98,0.96,2.005714e-08
99,0.98,2.048101e-08
100,1.0,2.087316e-08
