,V,I_SD VG0
0,-1.0,-4.528805e-08
1,-0.98,-3.797631e-08
2,-0.96,-3.169959e-08
3,-0.94,-2.695513e-08
4,-0.92,-2.267399e-08
5,-0.9,-1.93953e-08
6,-0.88,-1.58035e-08
7,-0.86,-1.273364e-08
8,-0.84,-1.114861e-08
9,-0.8200000000000001,-7.340562e-09
10,-0.8,-5.52629e-09
11,-0.78,-3.858204e-09
12,-0.76,-2.216356e-09
13,-0.74,-5.221804e-10
14,-0.72,-9.722437e-11
15,-0.7,2.360412e-09
16,-0.6799999999999999,2.959385e-09
17,-0.6599999999999999,3.497509e-09
18,-0.64,5.51126e-09
19,-0.62,6.097362e-09
20,-0.6,7.175425e-09
21,-0.5800000000000001,7.843709e-09
22,-0.56,8.061373e-09
23,-0.54,8.572751e-09
24,-0.52,8.573156e-09
25,-0.5,9.927442e-09
26,-0.48,1.051739e-08
27,-0.45999999999999996,1.045598e-08
28,-0.43999999999999995,1.191904e-08
29,-0.42000000000000004,1.299211e-08
30,-0.4,1.311133e-08
31,-0.38,1.442789e-08
32,-0.36,1.3118e-08
33,-0.33999999999999997,1.397629e-08
34,-0.31999999999999995,1.429353e-08
35,-0.29999999999999993,1.38603e-08
36,-0.28,1.54451e-08
37,-0.26,1.516071e-08
38,-0.24,1.544318e-08
39,-0.21999999999999997,1.56559e-08
40,-0.19999999999999996,1.595195e-08
41,-0.17999999999999994,1.613342e-08
42,-0.16000000000000003,1.664747e-08
43,-0.14,1.656011e-08
44,-0.12,1.667261e-08
45,-0.09999999999999998,1.684748e-08
46,-0.07999999999999996,1.674813e-08
47,-0.05999999999999994,1.595558e-08
48,-0.040000000000000036,1.705439e-08
49,-0.020000000000000018,1.679894e-08
50,0.0,1.700742e-08
51,0.020000000000000018,1.718257e-08
52,0.040000000000000036,1.710997e-08
53,0.06000000000000005,1.696977e-08
54,0.08000000000000007,1.697184e-08
55,0.10000000000000009,1.731836e-08
56,0.1200000000000001,1.75852e-08
57,0.14000000000000012,1.669591e-08
58,0.15999999999999992,1.612253e-08
59,0.17999999999999994,1.699818e-08
60,0.19999999999999996,1.746738e-08
61,0.21999999999999997,1.761072e-08
62,0.24,1.720665e-08
63,0.26,1.890855e-08
64,0.28,1.84679e-08
65,0.30000000000000004,1.787033e-08
66,0.32000000000000006,1.932088e-08
67,0.3400000000000001,1.950252e-08
68,0.3600000000000001,2.101184e-08
69,0.3800000000000001,2.05876e-08
70,0.40000000000000013,2.02593e-08
71,0.41999999999999993,2.155174e-08
72,0.43999999999999995,2.160381e-08
73,0.45999999999999996,2.232603e-08
74,0.48,2.271728e-08
75,0.5,2.344012e-08
76,0.52,2.31924e-08
77,0.54,2.305613e-08
78,0.56,2.364026e-08
79,0.5800000000000001,2.454089e-08
80,0.6000000000000001,2.584235e-08
81,0.6200000000000001,2.565756e-08
82,0.6400000000000001,2.50042e-08
83,0.6600000000000001,2.702208e-08
84,0.6799999999999999,2.617986e-08
85,0.7,2.720028e-08
86,0.72,2.855203e-08
87,0.74,2.881981e-08
88,0.76,2.84144e-08
89,0.78,2.950396e-08
90,0.8,3.039144e-08
91,0.8200000000000001,3.014802e-08
92,0.8400000000000001,3.105492e-08
93,0.8600000000000001,3.146248e-08
94,0.8800000000000001,3.225322e-08
95,0.9000000000000001,3.388346e-08
96,0.9199999999999999,3.462856e-08
97,0.94,3.532621e-08
98,0.96,3.674729e-08
99,0.98,3.776226e-08
100,1.0,3.819704e-08
