,V,I_SD VG0
0,-1.0,-1.654494e-07
1,-0.98,-1.57899e-07
2,-0.96,-1.508756e-07
3,-0.94,-1.440884e-07
4,-0.92,-1.375762e-07
5,-0.9,-1.311955e-07
6,-0.88,-1.25211e-07
7,-0.86,-1.193186e-07
8,-0.84,-1.135082e-07
9,-0.8200000000000001,-1.080241e-07
10,-0.8,-1.024949e-07
11,-0.78,-9.71235e-08
12,-0.76,-9.176868e-08
13,-0.74,-8.665276e-08
14,-0.72,-8.16614e-08
15,-0.7,-7.665317e-08
16,-0.6799999999999999,-7.187449e-08
17,-0.6599999999999999,-6.701057e-08
18,-0.64,-6.258582e-08
19,-0.62,-5.801101e-08
20,-0.6,-5.380538e-08
21,-0.5800000000000001,-4.929961e-08
22,-0.56,-4.524481e-08
23,-0.54,-4.118961e-08
24,-0.52,-3.705482e-08
25,-0.5,-3.321018e-08
26,-0.48,-2.923449e-08
27,-0.45999999999999996,-2.552393e-08
28,-0.43999999999999995,-2.197151e-08
29,-0.42000000000000004,-1.886356e-08
30,-0.4,-1.543222e-08
31,-0.38,-1.236065e-08
32,-0.36,-9.594733e-09
33,-0.33999999999999997,-6.331962e-09
34,-0.31999999999999995,-3.210835e-09
35,-0.29999999999999993,-3.388679e-10
36,-0.28,2.362641e-09
37,-0.26,5.143977e-09
38,-0.24,8.128643e-09
39,-0.21999999999999997,1.060922e-08
40,-0.19999999999999996,1.324028e-08
41,-0.17999999999999994,1.570471e-08
42,-0.16000000000000003,1.820079e-08
43,-0.14,2.079393e-08
44,-0.12,2.309895e-08
45,-0.09999999999999998,2.531105e-08
46,-0.07999999999999996,2.733732e-08
47,-0.05999999999999994,2.979893e-08
48,-0.040000000000000036,3.17746e-08
49,-0.020000000000000018,3.355633e-08
50,0.0,3.547719e-08
51,0.020000000000000018,3.772155e-08
52,0.040000000000000036,3.935319e-08
53,0.06000000000000005,4.147238e-08
54,0.08000000000000007,4.333936e-08
55,0.10000000000000009,4.512006e-08
56,0.1200000000000001,4.73901e-08
57,0.14000000000000012,4.86577e-08
58,0.15999999999999992,5.084627e-08
59,0.17999999999999994,5.266321e-08
60,0.19999999999999996,5.430964e-08
61,0.21999999999999997,5.582211e-08
62,0.24,5.812964e-08
63,0.26,5.954525e-08
64,0.28,6.153956e-08
65,0.30000000000000004,6.314166e-08
66,0.32000000000000006,6.52413e-08
67,0.3400000000000001,6.712439e-08
68,0.3600000000000001,6.91984e-08
69,0.3800000000000001,7.150895e-08
70,0.40000000000000013,7.302588e-08
71,0.41999999999999993,7.529729e-08
72,0.43999999999999995,7.721644e-08
73,0.45999999999999996,7.937319e-08
74,0.48,8.122847e-08
75,0.5,8.37401e-08
76,0.52,8.641499e-08
77,0.54,8.876926e-08
78,0.56,9.065395e-08
79,0.5800000000000001,9.323031e-08
80,0.6000000000000001,9.594077e-08
81,0.6200000000000001,9.84622e-08
82,0.6400000000000001,1.014554e-07
83,0.6600000000000001,1.04433e-07
84,0.6799999999999999,1.072602e-07
85,0.7,1.097449e-07
86,0.72,1.126732e-07
87,0.74,1.157355e-07
88,0.76,1.187951e-07
89,0.78,1.218189e-07
90,0.8,1.250588e-07
91,0.8200000000000001,1.279937e-07
92,0.8400000000000001,1.312407e-07
93,0.8600000000000001,1.346153e-07
94,0.8800000000000001,1.381175e-07
95,0.9000000000000001,1.417884e-07
96,0.9199999999999999,1.454927e-07
97,0.94,1.489633e-07
98,0.96,1.524866e-07
99,0.98,1.563479e-07
100,1.0,1.602015e-07
